MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
8,24.3,0,1.481604541,1.987874348,30,1.945910149,3.044522438,4.234106505,3.401197382,6.928243945,6.923628628,2.079441542,2.079441542,2.734367509,3.202746443,0,0.405465108,1
14,26.9,0.405465108,1.686398954,2.370243741,39,1.609437912,2.890371758,4.394449155,3.610917913,6.921066293,6.917111374,1.791759469,1.386294361,2.917770732,3.284663565,1,0.405465108,1
13.7,23.4,0.405465108,1.916922612,1.458615023,68.5,1.945910149,1.945910149,4.418840608,4.248495242,6.918200537,6.915921842,2.197224577,2.079441542,2.797281335,3.054001182,1,0.405465108,1
13.3,15.5,0.405465108,2.104134154,2.312535424,54,3.198673118,3.218875825,4.143134726,4.043051268,6.914234245,6.915723449,1.098612289,2.079441542,2.674148649,2.714694744,1,0.405465108,1
7.6,16.1,0.405465108,1.887069649,2.451005098,50,3.044522438,3.36729583,4.234106505,3.912023005,6.926871396,6.92706759,2.079441542,2.079441542,2.493205453,2.797281335,1,0,0
6.2,16.9,0,1.916922612,2.219203484,44,3.044522438,3.218875825,4.262679877,4.060443011,6.932252751,6.930201468,2.079441542,1.791759469,2.4765384,2.76000994,0,0.182321557,0
6.1,18.2,0.182321557,1.648658626,2.240709689,43,2.995732274,3.295836866,4.158883083,3.871201011,6.933033086,6.93069025,1.609437912,1.945910149,2.595254707,2.90690106,0,0,0
8.3,17,0,1.887069649,1.722766598,41,2.48490665,3.218875825,4.189654742,4.060443011,6.934591933,6.932642994,1.945910149,2.079441542,2.57261223,2.803360381,0,0,0
8.8,19.5,0,1.609437912,1.62924054,48,2.995732274,2.890371758,4.262679877,3.891820298,6.934494576,6.931178794,2.079441542,2.079441542,2.714694744,2.990719732,0,0.405465108,1
8.4,22.8,0.405465108,1.85629799,2.163323026,31,2.079441542,1.945910149,4.418840608,3.496507561,6.932545448,6.929223186,2.079441542,0.693147181,2.660259537,3.122364924,1,0,0
9.1,25.2,0,1.648658626,2.557227311,30,1.945910149,2.302585093,4.317488114,3.555348061,6.932838059,6.929614613,0.693147181,1.098612289,2.747270914,3.218875825,0,0.182321557,0
8.5,27.3,0.182321557,2.104134154,2.602689685,41,1.098612289,2.772588722,4.007333185,3.583518938,6.932252751,6.92843987,0,1.386294361,2.879198457,3.295836866,0,0,0
10.1,27.9,0,2.104134154,2.63905733,30,1.945910149,2.079441542,4.143134726,3.401197382,6.930494766,6.925693424,0,0.693147181,2.890371758,3.335769576,0,0,0
12.1,30.9,0,1.974081026,2.595254707,44,2.079441542,3.044522438,4.219507705,3.044522438,6.925889849,6.921756799,0.693147181,1.609437912,3.0301337,3.456316681,0,0,0
10.1,31.2,0,2.282382386,2.646174797,41,1.945910149,3.044522438,3.828641396,2.833213344,6.926773285,6.922348281,0,0.693147181,2.980618636,3.446807893,0,0,0
12.4,32.1,0,2.240709689,2.493205453,46,2.079441542,2.302585093,4.262679877,3.135494216,6.926478893,6.921460926,0,1.386294361,3.000719815,3.456316681,0,0,0
13.8,31.2,0,2.104134154,2.240709689,44,1.945910149,2.995732274,4.290459441,3.17805383,6.923037903,6.918497376,2.079441542,1.945910149,3.054001182,3.42751469,0,0.405465108,1
11.7,30,0.405465108,2.104134154,2.406945108,52,1.945910149,2.48490665,4.094344562,3.295836866,6.925005632,6.921658184,0.693147181,1.791759469,3.04927304,3.387774361,1,0.405465108,0
12.4,32.3,0.405465108,2.128231706,2.63905733,39,1.609437912,2.890371758,4.110873864,3.258096538,6.925693424,6.921953998,0.693147181,1.386294361,3.054001182,3.471966453,0,0,0
15.6,33.4,0,2.197224577,2.433613355,33,1.098612289,2.63905733,4.127134385,3.33220451,6.92706759,6.922348281,0,0.693147181,3.169685581,3.496507561,0,0,0
15.3,33.4,0,2.282382386,2.351375257,59,1.098612289,3.465735903,4.110873864,3.295836866,6.921066293,6.915227294,0.693147181,1.791759469,3.144152279,3.520460802,0,0.336472237,0
16.4,19.4,0.336472237,2.32238772,0,26,1.945910149,2.48490665,4.48863637,4.290459441,6.919387363,6.917606595,2.197224577,2.197224577,2.862200881,2.960105096,0,0.405465108,1
12.8,18.5,0.405465108,1.335001067,0.470003629,28,2.63905733,2.63905733,4.521788577,4.382026635,6.922643891,6.923530198,2.197224577,2.197224577,2.708050201,2.879198457,1,0.336472237,0
12,24.3,0.336472237,0.78845736,2.140066163,26,1.945910149,2.302585093,4.317488114,4.060443011,6.929223186,6.927753965,2.079441542,1.791759469,2.93385687,3.169685581,0,0,0
15.4,28.4,0,1.686398954,2.208274414,33,2.302585093,2.772588722,4.454347296,3.465735903,6.930885696,6.927165673,2.197224577,1.098612289,2.879198457,3.342861805,0,0,0
15.6,26.9,0,2.054123734,2.292534757,41,1.945910149,3.135494216,4.189654742,3.891820298,6.928243945,6.925103917,1.098612289,1.609437912,3.034952987,3.261935314,0,0.182321557,0
13.3,22.2,0.182321557,2.028148247,1.193922468,39,3.044522438,2.890371758,4.262679877,4.025351691,6.929516771,6.927165673,2.079441542,2.079441542,2.862200881,3.100092289,0,0,0
12.9,28,0,1.686398954,2.459588842,52,1.945910149,2.48490665,4.127134385,3.465735903,6.927753965,6.923431758,1.791759469,2.079441542,2.985681938,3.321432413,0,0,0
15.1,24.3,0,2.079441542,0.336472237,39,2.079441542,2.890371758,4.248495242,4.394449155,6.927557906,6.925693424,2.079441542,2.079441542,2.990719732,3.0301337,0,0.336472237,0
13.6,24.1,0.336472237,1.280933845,0.405465108,30,1.945910149,1.945910149,4.430816799,3.912023005,6.925791641,6.921953998,2.197224577,2.079441542,2.90690106,3.186352633,0,0.405465108,1
15.1,20.4,0.405465108,1.223775432,0.182321557,41,1.945910149,3.044522438,4.418840608,4.501197596,6.923628628,6.922742409,2.197224577,2.197224577,2.890371758,2.850706502,1,0.405465108,1
11.6,26.3,0.405465108,0.955511445,2.564949357,41,1.945910149,2.302585093,4.204692619,3.850147602,6.922545364,6.918200537,1.098612289,1.098612289,2.87356464,3.265759411,1,0.182321557,0
16.6,24.2,0.182321557,2.028148247,1.740466175,50,2.63905733,3.583518938,4.290459441,4.110873864,6.916615907,6.913339657,2.079441542,2.079441542,3.068052935,3.039749159,0,0.405465108,1
13.3,26.5,0.405465108,1.568615918,2.549445171,50,3.044522438,3.295836866,4.317488114,3.713572067,6.916021023,6.915028763,1.791759469,1.098612289,2.985681938,3.261935314,1,0,0
14.5,21.8,0,2.240709689,2.379546134,43,2.48490665,3.433987204,4.248495242,4.158883083,6.923628628,6.92392386,2.079441542,0.693147181,2.975529566,3.068052935,0,0,0
16.3,26.8,0,1.945910149,1.987874348,39,2.63905733,2.302585093,4.369447852,4.007333185,6.927361809,6.92471072,2.197224577,2.079441542,2.975529566,3.238678452,0,0,0
17.2,25.8,0,1.648658626,2.282382386,41,1.945910149,1.945910149,4.262679877,4.317488114,6.923136381,6.920177799,1.945910149,2.079441542,3.113515309,3.161246712,0,0.405465108,1
16.5,28.2,0.405465108,1.648658626,2.282382386,39,2.079441542,2.63905733,4.343805422,3.761200116,6.923431758,6.920079029,2.197224577,0.693147181,2.944438979,3.306886702,1,0,0
15,29.4,0,2.028148247,2.493205453,43,2.302585093,3.218875825,4.369447852,3.218875825,6.919486202,6.917210438,2.079441542,2.079441542,3.072693315,3.387774361,0,0,0
14.9,24.8,0,2.433613355,2.397895273,35,2.48490665,1.945910149,4.077537444,3.63758616,6.92037531,6.919090789,2.079441542,2.079441542,3.010620886,3.173878459,0,0.405465108,0
11.8,18.5,0.405465108,1.757857918,1.193922468,35,2.302585093,2.772588722,4.110873864,4.158883083,6.926577033,6.925988047,2.197224577,1.945910149,2.694627181,2.856470206,0,0,0
11.7,21.5,0,1.648658626,2.116255515,41,2.772588722,3.218875825,4.204692619,3.951243719,6.929614613,6.928145969,2.079441542,1.791759469,2.815408719,3.015534901,0,0,0
9.6,20.3,0,1.791759469,1.526056303,39,3.135494216,3.044522438,4.262679877,3.912023005,6.930397009,6.927851981,2.079441542,2.079441542,2.821378886,3.005682604,0,0,0
8.9,27.1,0,1.686398954,2.617395833,35,1.945910149,2.48490665,4.158883083,3.63758616,6.926675164,6.921164966,0.693147181,1.098612289,2.821378886,3.258096538,0,0,0
10.1,29.9,0,2.054123734,2.282382386,41,1.098612289,2.63905733,4.158883083,3.610917913,6.921263629,6.918893023,0.693147181,2.197224577,2.912350665,3.404525172,0,0.405465108,1
15.5,21.1,0.405465108,2.00148,0.641853886,31,1.945910149,2.079441542,4.543294782,4.465908119,6.918794126,6.917309492,2.197224577,2.197224577,2.867898902,3.044522438,1,0.405465108,1
10.8,21.7,0.405465108,1.335001067,2.451005098,48,2.63905733,3.044522438,4.094344562,3.713572067,6.926184414,6.925398714,0.693147181,1.609437912,2.791165108,3.08190997,1,0,0
7.5,20.9,0,2.028148247,2.272125886,39,2.63905733,3.044522438,4.127134385,3.784189634,6.929125305,6.926871396,1.945910149,2.079441542,2.791165108,3.034952987,0,0,0
12.8,21,0,2.00148,0.587786665,22,2.079441542,1.945910149,4.290459441,4.007333185,6.926577033,6.924219005,2.197224577,2.197224577,2.839078464,3.044522438,0,0.405465108,1
12.6,23.1,0.405465108,0.955511445,1.193922468,30,1.609437912,2.63905733,4.584967479,4.317488114,6.92441572,6.922742409,2.197224577,2.079441542,2.791165108,3.063390922,1,0.405465108,1
14.8,29.5,0.405465108,1.029619417,2.208274414,41,1.945910149,3.135494216,4.406719247,3.891820298,6.92155956,6.9170123,1.098612289,2.079441542,3.091042453,3.374168709,1,0.405465108,1
19.9,22,0.405465108,1.686398954,1.931521412,68.5,3.198673118,3.433987204,4.532599493,4.143134726,6.910414241,6.908542469,2.197224577,1.386294361,3.072693315,3.025291076,1,0.405465108,1
9.2,20.4,0.405465108,2.174751721,2.415913778,39,2.302585093,3.044522438,4.094344562,3.912023005,6.918200537,6.917804615,0.693147181,2.079441542,2.766319109,2.985681938,1,0,0
12.4,24.4,0,1.974081026,2.57261223,44,2.079441542,2.63905733,4.248495242,3.784189634,6.921460926,6.918398439,1.945910149,1.609437912,2.772588722,3.157000421,0,0.405465108,1
11.3,21.7,0.405465108,2.219203484,1.887069649,41,2.48490665,2.48490665,4.219507705,3.970291914,6.928929514,6.927655941,2.197224577,1.386294361,2.595254707,3.091042453,1,0,0
9.8,26.3,0,1.824549292,2.63905733,41,1.945910149,2.995732274,4.158883083,3.583518938,6.931667099,6.926577033,0.693147181,0.693147181,2.791165108,3.214867803,0,0,0
14.3,26.7,0,2.104134154,2.091864062,65,2.079441542,3.795489189,4.234106505,4.17438727,6.925889849,6.922939414,2.079441542,2.079441542,3.034952987,2.995732274,0,0.405465108,1
15.1,28.3,0.405465108,2.282382386,2.653241965,28,1.945910149,2.63905733,4.304065093,3.80666249,6.925398714,6.922052584,0.693147181,1.791759469,2.960105096,3.346389145,1,0,0
14.4,31.6,0,2.028148247,2.681021529,30,1.945910149,2.079441542,4.189654742,3.433987204,6.925693424,6.922840916,0,1.098612289,3.113515309,3.443618098,0,0,0
15.4,35,0,2.360854001,2.63905733,39,1.945910149,3.135494216,4.025351691,2.944438979,6.925988047,6.923628628,0.693147181,0.693147181,3.194583132,3.563882964,0,0,0
13.8,33.5,0,2.517696473,2.681021529,31,2.079441542,2.302585093,3.80666249,3.044522438,6.927753965,6.924219005,0,0.693147181,3.131136911,3.502549876,0,0,0
13.6,34.2,0,2.282382386,2.624668592,35,1.098612289,2.48490665,3.931825633,3.044522438,6.92441572,6.92027656,2.079441542,1.945910149,3.131136911,3.490428515,0,0,0
14.3,35,0,2.151762203,2.442347035,41,1.098612289,2.302585093,3.784189634,2.708050201,6.921263629,6.917408536,0,0.693147181,3.17805383,3.543853682,0,0,0
15.9,23.4,0,2.610069793,1.16315081,50,3.044522438,3.218875825,4.248495242,4.025351691,6.925398714,6.924907338,2.197224577,2.079441542,3.005682604,3.148453361,0,0,0
16.7,25.3,0,1.974081026,2.602689685,46,3.198673118,3.295836866,4.043051268,3.828641396,6.924809034,6.921658184,1.945910149,2.079441542,3.058707073,3.214867803,0,0,0
12.1,27.5,0,2.128231706,2.541601993,35,2.079441542,2.772588722,4.248495242,3.713572067,6.920474051,6.916120195,2.079441542,1.098612289,2.975529566,3.325036021,0,0,0
14.3,34.1,0,2.028148247,2.442347035,39,1.945910149,2.995732274,4.356708827,3.555348061,6.915326544,6.91204606,0.693147181,0.693147181,2.990719732,3.493472658,0,0,0
16.5,33.9,0,2.302585093,2.610069793,39,2.48490665,2.48490665,4.110873864,3.610917913,6.92096761,6.918200537,0.693147181,0.693147181,3.08190997,3.47506723,0,0,0
16.5,30.3,0,2.397895273,2.208274414,46,2.079441542,2.302585093,4.356708827,3.80666249,6.924317367,6.922052584,2.079441542,0.693147181,2.949688335,3.36729583,0,0,0
17.5,29.9,0,2.028148247,2.282382386,43,2.63905733,2.48490665,4.317488114,3.828641396,6.92706759,6.924514063,2.197224577,0.693147181,3.010620886,3.363841595,0,0,0
14.7,34.2,0,2.028148247,2.624668592,33,1.945910149,2.48490665,4.17438727,3.258096538,6.926380743,6.921953998,0.693147181,0.693147181,3.104586678,3.502549876,0,0,0
17.5,35.8,0,2.341805806,2.660259537,57,1.945910149,2.995732274,4.043051268,3.218875825,6.920474051,6.915227294,0,0.693147181,3.246490992,3.569532696,0,0,0
20.9,35.7,0,2.617395833,2.066862759,50,1.609437912,2.890371758,4.127134385,3.36729583,6.91631851,6.9117473,2.079441542,1.098612289,3.202746443,3.555348061,0,0.405465108,1
17,33.8,0.405465108,2.302585093,2.674148649,52,1.945910149,3.218875825,4.189654742,3.583518938,6.91274282,6.910551366,1.098612289,1.386294361,3.17805383,3.490428515,1,0,0
16,22.8,0,2.595254707,1.945910149,50,2.63905733,2.995732274,4.262679877,4.060443011,6.92096761,6.92096761,2.197224577,1.945910149,2.890371758,3.117949906,0,0,0
15.4,33.8,0,1.824549292,2.493205453,35,2.079441542,2.772588722,4.262679877,3.295836866,6.922840916,6.91770561,2.079441542,0.693147181,2.944438979,3.487375078,0,0,0
17.9,33.2,0,2.433613355,2.240709689,59,2.772588722,3.044522438,4.077537444,4.143134726,6.917210438,6.914830193,1.945910149,2.079441542,3.238678452,3.198673118,0,0.405465108,1
15.2,25.1,0.405465108,2.00148,2.533696814,46,3.044522438,3.36729583,4.143134726,3.761200116,6.925398714,6.923628628,0.693147181,0.693147181,2.895911938,3.214867803,1,0,0
15.1,20.4,0,2.360854001,0.09531018,39,2.890371758,2.995732274,4.158883083,4.025351691,6.926086236,6.92441572,2.197224577,2.197224577,2.93385687,3.015534901,0,0.405465108,1
15.3,19.6,0.405465108,1.791759469,0,33,2.302585093,2.63905733,4.532599493,4.48863637,6.917408536,6.914730893,2.197224577,2.197224577,2.944438979,2.975529566,1,0.405465108,1
17.2,24.7,0.405465108,0.875468737,2.208274414,50,2.995732274,3.36729583,4.394449155,4.276666119,6.913637942,6.91274282,2.079441542,2.197224577,3.015534901,3.131136911,1,0.405465108,0
15.9,19.9,0.405465108,1.887069649,0.955511445,48,2.890371758,3.135494216,4.304065093,4.077537444,6.920079029,6.920770216,2.197224577,2.079441542,2.912350665,2.975529566,0,0,0
10,22.5,0,1.686398954,2.533696814,33,2.48490665,2.079441542,4.025351691,3.850147602,6.927263745,6.925398714,0.693147181,1.098612289,2.753660712,3.144152279,0,0,0
9.9,24.4,0,1.916922612,2.468099531,28,2.079441542,2.079441542,4.110873864,3.663561646,6.930103683,6.927753965,0.693147181,1.609437912,2.844909384,3.165475048,0,0,0
10.3,27.8,0,2.00148,2.388762789,35,1.945910149,2.48490665,4.17438727,3.401197382,6.92981027,6.926675164,1.386294361,1.945910149,2.890371758,3.306886702,0,0,0
15.4,25.7,0,2.054123734,2.219203484,41,2.302585093,2.890371758,4.219507705,3.496507561,6.928635757,6.92549696,2.079441542,2.079441542,2.923161581,3.242592351,0,0,0
12.7,28.8,0,2.128231706,2.302585093,28,1.609437912,2.079441542,4.262679877,3.36729583,6.925103917,6.921066293,0.693147181,1.791759469,2.960105096,3.377587516,0,0,0
13.2,31.3,0,2.028148247,2.533696814,46,1.609437912,3.295836866,4.276666119,3.36729583,6.921756799,6.918200537,0.693147181,1.609437912,3.0301337,3.456316681,0,0,0
15.3,33.2,0,2.341805806,2.653241965,44,1.609437912,3.218875825,4.110873864,2.944438979,6.922545364,6.920671504,0,0.693147181,3.152736022,3.499533282,0,0,0
17.9,33.9,0,2.433613355,2.549445171,46,1.945910149,2.48490665,4.290459441,3.135494216,6.925988047,6.92323485,0.693147181,0.693147181,3.034952987,3.505557397,0,0,0
18,34.9,0,2.32238772,2.388762789,68.5,1.945910149,2.63905733,4.234106505,3.401197382,6.926577033,6.922348281,0.693147181,1.945910149,3.144152279,3.529297384,0,0.405465108,1
17.6,27.8,0.405465108,2.415913778,1.526056303,39,2.63905733,2.63905733,4.204692619,3.912023005,6.92323485,6.921460926,2.079441542,2.197224577,3.109060959,3.306886702,1,0.405465108,1
16,23.8,0.405465108,1.85629799,1.974081026,30,2.48490665,2.48490665,4.304065093,3.912023005,6.927459862,6.925693424,2.197224577,2.079441542,2.862200881,3.173878459,1,0,0
14.9,28.8,0,1.916922612,2.208274414,30,2.079441542,2.48490665,4.276666119,3.80666249,6.926773285,6.923136381,2.079441542,1.098612289,3.000719815,3.33220451,0,0,0
17.1,29.6,0,1.916922612,2.32238772,48,2.302585093,2.890371758,4.219507705,3.663561646,6.925300458,6.921460926,1.945910149,2.079441542,3.122364924,3.404525172,0,0.405465108,1
18.2,22.6,0.405465108,2.197224577,0,33,2.079441542,2.63905733,4.532599493,4.343805422,6.923037903,6.920177799,2.197224577,2.197224577,2.970414466,3.139832618,1,0.405465108,1
16.8,22.8,0.405465108,1.335001067,0.262364264,30,2.079441542,2.48490665,4.48863637,4.276666119,6.918695219,6.916516785,2.197224577,2.197224577,2.965273066,3.113515309,1,0.405465108,0
13.6,27.4,0.405465108,1.335001067,2.197224577,52,1.945910149,3.218875825,4.356708827,3.737669618,6.910850484,6.908542469,1.609437912,2.079441542,2.980618636,3.314186005,0,0,0
14.5,24.2,0,2.054123734,1.931521412,61,2.48490665,3.044522438,4.343805422,4.343805422,6.910414241,6.908542469,2.079441542,2.079441542,2.939161922,3.058707073,0,0.405465108,1
12.4,19.9,0.405465108,1.85629799,1.887069649,41,2.079441542,3.044522438,4.33073334,4.077537444,6.91631851,6.913737351,2.079441542,2.079441542,2.681021529,2.980618636,1,0,0
10.4,20.9,0,1.609437912,2.292534757,33,2.772588722,2.890371758,4.189654742,3.951243719,6.916417652,6.915525016,1.945910149,1.945910149,2.694627181,2.980618636,0,0,0
9.1,23.1,0,1.916922612,2.360854001,41,2.890371758,2.63905733,4.204692619,3.63758616,6.922249725,6.920079029,0.693147181,2.079441542,2.708050201,3.109060959,0,0,0
8.9,26,0,1.791759469,2.459588842,31,2.079441542,2.63905733,4.317488114,3.555348061,6.92471072,6.92037531,0.693147181,1.791759469,2.747270914,3.226843995,0,0.405465108,1
14.5,24.2,0.405465108,2.028148247,1.931521412,48,2.302585093,2.890371758,4.564348191,4.110873864,6.919486202,6.915525016,2.197224577,1.791759469,2.821378886,3.161246712,1,0.405465108,1
12.6,18.2,0.405465108,1.435084525,0.336472237,30,2.63905733,2.772588722,4.406719247,4.304065093,6.918695219,6.91968385,2.079441542,2.197224577,2.850706502,2.879198457,1,0.182321557,0
8.6,24.2,0.182321557,1.335001067,2.617395833,33,2.48490665,2.302585093,4.158883083,3.63758616,6.926086236,6.923727048,0.693147181,0.693147181,2.687847494,3.135494216,0,0,0
10.8,25.2,0,1.887069649,2.610069793,35,2.079441542,2.079441542,4.248495242,3.496507561,6.928733685,6.925300458,0.693147181,0.693147181,2.772588722,3.230804396,0,0,0
11.2,26.1,0,2.104134154,2.610069793,39,2.079441542,2.995732274,4.276666119,3.713572067,6.931374145,6.928537818,0.693147181,0.693147181,2.791165108,3.246490992,0,0,0
12.1,24.1,0,2.128231706,2.415913778,46,2.302585093,2.63905733,4.17438727,3.850147602,6.933617939,6.929908084,2.079441542,0.693147181,2.797281335,3.157000421,0,0,0
10.8,25.8,0,2.054123734,2.541601993,31,2.079441542,2.48490665,4.290459441,3.761200116,6.92981027,6.925988047,1.791759469,1.609437912,2.901421594,3.222867846,0,0,0
11.4,27.1,0,1.887069649,2.57261223,33,1.945910149,2.772588722,4.248495242,3.663561646,6.926184414,6.921460926,0.693147181,1.098612289,2.884800713,3.299533728,0,0,0
12,28.9,0,2.104134154,2.219203484,39,1.098612289,2.302585093,4.369447852,3.465735903,6.920868918,6.917804615,1.098612289,2.079441542,2.912350665,3.387774361,0,0.405465108,1
16.3,24.8,0.405465108,2.174751721,1.568615918,50,1.609437912,2.079441542,4.48863637,4.043051268,6.920474051,6.917111374,2.079441542,2.079441542,2.917770732,3.218875825,1,0.405465108,1
12.7,28.6,0.405465108,1.435084525,2.261763098,50,1.609437912,3.36729583,4.369447852,3.761200116,6.9170123,6.911049846,1.791759469,1.791759469,2.862200881,3.346389145,1,0,0
12.7,25.1,0,2.174751721,2.595254707,46,3.044522438,3.295836866,4.060443011,3.496507561,6.916120195,6.914134886,0.693147181,0.693147181,2.815408719,3.238678452,0,0,0
12,23.8,0,2.433613355,2.595254707,44,2.772588722,3.433987204,4.007333185,3.555348061,6.916615907,6.915921842,0,0.693147181,2.778819272,3.173878459,0,0,0
11.5,25.9,0,1.824549292,2.415913778,44,2.302585093,2.079441542,4.262679877,3.583518938,6.925005632,6.922939414,1.945910149,1.098612289,2.821378886,3.230804396,0,0,0
13,28.2,0,1.791759469,2.533696814,44,1.609437912,2.890371758,4.317488114,3.33220451,6.926184414,6.923037903,1.386294361,1.945910149,2.912350665,3.33220451,0,0,0
11.7,27.6,0,2.174751721,2.208274414,48,1.609437912,3.433987204,4.317488114,3.258096538,6.922249725,6.917804615,1.098612289,1.945910149,2.923161581,3.325036021,0,0,0
